amphiprion_ocellaris ENSAOCG00000009466
amphiprion_percula ENSAPEG00000009023
acanthochromis_polyacanthus ENSAPOG00000000337
anabas_testudineus ENSATEG00000004891
scophthalmus_maximus ENSSMAG00000011069
cynoglossus_semilaevis ENSCSEG00000014019
seriola_lalandi_dorsalis ENSSLDG00000000450
monopterus_albus ENSMALG00000007089
neolamprologus_brichardi ENSNBRG00000019870
haplochromis_burtoni ENSHBUG00000013114
amphilophus_citrinellus ENSACIG00000016795
xiphophorus_couchianus ENSXCOG00000005287
poecilia_reticulata ENSPREG00000010937
periophthalmus_magnuspinnatus ENSPMGG00000018081
danio_rerio ENSDARG00000036876
paramormyrops_kingsleyae ENSPKIG00000024153
eptatretus_burgeri ENSEBUG00000016927
