pygocentrus_nattereri ENSPNAG00000007333
astyanax_mexicanus ENSAMXG00000009972
ictalurus_punctatus ENSIPUG00000008059
danio_rerio ENSDARG00000071487
maylandia_zebra ENSMZEG00005001314
haplochromis_burtoni ENSHBUG00000014844
astatotilapia_calliptera ENSACLG00000004553
fundulus_heteroclitus ENSFHEG00000014415
amphiprion_percula ENSAPEG00000021457
amphiprion_ocellaris ENSAOCG00000003625
acanthochromis_polyacanthus ENSAPOG00000012581
labrus_bergylta ENSLBEG00000021847
anabas_testudineus ENSATEG00000007384
esox_lucius ENSELUG00000014771
scleropages_formosus ENSSFOG00015020877
lepisosteus_oculatus ENSLOCG00000003429
chelonoidis_abingdonii ENSCABG00000008402
gopherus_agassizii ENSGAGG00000008586
chrysemys_picta_bellii ENSCPBG00000025602
pelodiscus_sinensis ENSPSIG00000016010
calidris_pugnax ENSCPUG00000012302
calidris_pygmaea ENSCPGG00000001432
anas_platyrhynchos_platyrhynchos ENSAPLG00000010526
anser_brachyrhynchus ENSABRG00000020928
apteryx_owenii ENSAOWG00000008272
apteryx_rowi ENSARWG00000015523
apteryx_haastii ENSAHAG00000019435
dromaius_novaehollandiae ENSDNVG00000004673
pogona_vitticeps ENSPVIG00000007040
anolis_carolinensis ENSACAG00000008812
notechis_scutatus ENSNSUG00000013115
salvator_merianae ENSSMRG00000016505
sphenodon_punctatus ENSSPUG00000017917
loxodonta_africana ENSLAFG00000014151
procavia_capensis ENSPCAG00000001727
echinops_telfairi ENSETEG00000009819
choloepus_hoffmanni ENSCHOG00000003458
dasypus_novemcinctus ENSDNOG00000000394
pan_troglodytes ENSPTRG00000010036
pan_paniscus ENSPPAG00000015106
gorilla_gorilla ENSGGOG00000001490
homo_sapiens ENSG00000166845
pongo_abelii ENSPPYG00000009171
nomascus_leucogenys ENSNLEG00000010541
mandrillus_leucophaeus ENSMLEG00000036690
cercocebus_atys ENSCATG00000032627
papio_anubis ENSPANG00000007505
theropithecus_gelada ENSTGEG00000024619
macaca_mulatta ENSMMUG00000010914
macaca_nemestrina ENSMNEG00000004827
macaca_fascicularis ENSMFAG00000038588
chlorocebus_sabaeus ENSCSAG00000018117
piliocolobus_tephrosceles ENSPTEG00000015288
colobus_angolensis_palliatus ENSCANG00000032965
rhinopithecus_roxellana ENSRROG00000039217
rhinopithecus_bieti ENSRBIG00000039944
saimiri_boliviensis_boliviensis ENSSBOG00000026155
callithrix_jacchus ENSCJAG00000001841
cebus_capucinus_imitator ENSCCAG00000022668
aotus_nancymaae ENSANAG00000027978
carlito_syrichta ENSTSYG00000006564
propithecus_coquereli ENSPCOG00000020877
microcebus_murinus ENSMICG00000029715
prolemur_simus ENSPSMG00000024803
otolemur_garnettii ENSOGAG00000008032
tupaia_belangeri ENSTBEG00000010622
tupaia_belangeri ENSTBEG00000010771
castor_canadensis ENSCCNG00000008938
dipodomys_ordii ENSDORG00000015771
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023298
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044906
mus_spicilegus ENSMSIG00000011796
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022386
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019114
rattus_norvegicus ENSRNOG00000028677
meriones_unguiculatus ENSMUGG00000020891
peromyscus_maniculatus_bairdii ENSPEMG00000011941
microtus_ochrogaster ENSMOCG00000013893
cricetulus_griseus_crigri-picr ENSCGRG00015009924
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010669
cricetulus_griseus_crigri_1.0 ENSCGRG00000016856
mesocricetus_auratus ENSMAUG00000000703
nannospalax_galili ENSNGAG00000013773
jaculus_jaculus ENSJJAG00000010721
cavia_porcellus ENSCPOG00000009526
cavia_aperea ENSCAPG00000015991
octodon_degus ENSODEG00000018408
chinchilla_lanigera ENSCLAG00000016460
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016485
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009092
fukomys_damarensis ENSFDAG00000018585
urocitellus_parryii ENSUPAG00010000428
ictidomys_tridecemlineatus ENSSTOG00000010907
marmota_marmota_marmota ENSMMMG00000005170
spermophilus_dauricus ENSSDAG00000015183
oryctolagus_cuniculus ENSOCUG00000015283
oryctolagus_cuniculus ENSOCUG00000009350
ochotona_princeps ENSOPRG00000007684
pteropus_vampyrus ENSPVAG00000008567
myotis_lucifugus ENSMLUG00000008747
bos_mutus ENSBMUG00000018991
bos_taurus ENSBTAG00000008169
bison_bison_bison ENSBBBG00000004674
ovis_aries ENSOARG00000004845
capra_hircus ENSCHIG00000022200
tursiops_truncatus ENSTTRG00000014654
sus_scrofa ENSSSCG00000004531
vicugna_pacos ENSVPAG00000012301
ursus_maritimus ENSUMAG00000003457
ailuropoda_melanoleuca ENSAMEG00000017187
neovison_vison ENSNVIG00000003027
mustela_putorius_furo ENSMPUG00000016454
canis_lupus_familiaris ENSCAFG00000000147
canis_lupus_dingo ENSCAFG00020021611
vulpes_vulpes ENSVVUG00000014854
panthera_pardus ENSPPRG00000004732
panthera_tigris_altaica ENSPTIG00000007461
felis_catus ENSFCAG00000009985
erinaceus_europaeus ENSEEUG00000004404
sorex_araneus ENSSARG00000008663
equus_caballus ENSECAG00000012242
equus_asinus_asinus ENSEASG00005003480
phascolarctos_cinereus ENSPCIG00000003643
notamacropus_eugenii ENSMEUG00000014753
sarcophilus_harrisii ENSSHAG00000001686
monodelphis_domestica ENSMODG00000025604
ornithorhynchus_anatinus ENSOANG00000001795
xenopus_tropicalis ENSXETG00000013698
latimeria_chalumnae ENSLACG00000015539
