apteryx_haastii ENSAHAG00000013399
apteryx_owenii ENSAOWG00000000816
apteryx_rowi ENSARWG00000013817
dromaius_novaehollandiae ENSDNVG00000017810
nothoprocta_perdicaria ENSNPEG00000000219
calidris_pugnax ENSCPUG00000015246
calidris_pygmaea ENSCPGG00000003579
ficedula_albicollis ENSFALG00000009710
junco_hyemalis ENSJHYG00000014151
taeniopygia_guttata ENSTGUG00000004515
lonchura_striata_domestica ENSLSDG00000011316
parus_major ENSPMJG00000007339
cyanistes_caeruleus ENSCCEG00000003374
melopsittacus_undulatus ENSMUNG00000000889
gallus_gallus ENSGALG00000002097
meleagris_gallopavo ENSMGAG00000001442
coturnix_japonica ENSCJPG00005003644
numida_meleagris ENSNMEG00000009343
calidris_pugnax ENSCPUG00000002909
calidris_pygmaea ENSCPGG00000003590
lepidothrix_coronata ENSLCOG00000015262
manacus_vitellinus ENSMVIG00005017663
spermophilus_dauricus ENSSDAG00000004746
urocitellus_parryii ENSUPAG00010014306
marmota_marmota_marmota ENSMMMG00000019050
ictidomys_tridecemlineatus ENSSTOG00000032004
castor_canadensis ENSCCNG00000020726
octodon_degus ENSODEG00000015981
chinchilla_lanigera ENSCLAG00000009841
cavia_porcellus ENSCPOG00000039990
cavia_aperea ENSCAPG00000009833
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007959
fukomys_damarensis ENSFDAG00000006608
mus_spicilegus ENSMSIG00000001486
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000061877
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029921
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031023
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013143
rattus_norvegicus ENSRNOG00000036981
meriones_unguiculatus ENSMUGG00000010020
peromyscus_maniculatus_bairdii ENSPEMG00000007757
microtus_ochrogaster ENSMOCG00000000682
cricetulus_griseus_crigri-picr ENSCGRG00015003917
cricetulus_griseus_crigri_1.0 ENSCGRG00000017069
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007625
cricetulus_griseus_crigri-picr ENSCGRG00015003932
mesocricetus_auratus ENSMAUG00000017314
nannospalax_galili ENSNGAG00000014913
jaculus_jaculus ENSJJAG00000018988
myotis_lucifugus ENSMLUG00000027968
equus_caballus ENSECAG00000019211
canis_lupus_dingo ENSCAFG00020015966
ursus_maritimus ENSUMAG00000010108
neovison_vison ENSNVIG00000015491
oryctolagus_cuniculus ENSOCUG00000023296
prolemur_simus ENSPSMG00000002384
