petromyzon_marinus ENSPMAG00000002202
eptatretus_burgeri ENSEBUG00000004025
tursiops_truncatus ENSTTRG00000009010
sus_scrofa ENSSSCG00000028748
vicugna_pacos ENSVPAG00000010230
ovis_aries ENSOARG00000006547
capra_hircus ENSCHIG00000016961
bos_indicus ENSBIXG00005002590
bos_indicus ENSBIXG00000007547
bos_taurus ENSBTAG00000006625
bos_mutus ENSBMUG00000022258
bison_bison ENSBBBG00000017724
ursus_maritimus ENSUMAG00000022343
ursus_americanus ENSUAMG00000016276
ailuropoda_melanoleuca ENSAMEG00000009642
mustela_putorius ENSMPUG00000006542
neovison_vison ENSNVIG00000007324
vulpes_vulpes ENSVVUG00000026855
canis_lupus ENSCAFG00020011978
panthera_pardus ENSPPRG00000003700
panthera_tigris ENSPTIG00000007254
felis_catus ENSFCAG00000028147
pteropus_vampyrus ENSPVAG00000003767
myotis_lucifugus ENSMLUG00000010855
equus_asinus ENSEASG00005014562
equus_caballus ENSECAG00000016387
erinaceus_europaeus ENSEEUG00000014554
pan_paniscus ENSPPAG00000033261
pan_troglodytes ENSPTRG00000000757
homo_sapiens ENSG00000058804
gorilla_gorilla ENSGGOG00000014677
pongo_abelii ENSPPYG00000001331
nomascus_leucogenys ENSNLEG00000003509
colobus_angolensis ENSCANG00000041724
piliocolobus_tephrosceles ENSPTEG00000024072
rhinopithecus_bieti ENSRBIG00000044947
rhinopithecus_roxellana ENSRROG00000034876
theropithecus_gelada ENSTGEG00000007133
papio_anubis ENSPANG00000014333
cercocebus_atys ENSCATG00000044757
mandrillus_leucophaeus ENSMLEG00000041412
macaca_mulatta ENSMMUG00000003546
macaca_fascicularis ENSMFAG00000006996
macaca_nemestrina ENSMNEG00000029764
chlorocebus_sabaeus ENSCSAG00000001293
cebus_capucinus ENSCCAG00000020966
saimiri_boliviensis ENSSBOG00000024069
callithrix_jacchus ENSCJAG00000004707
aotus_nancymaae ENSANAG00000038238
carlito_syrichta ENSTSYG00000005587
prolemur_simus ENSPSMG00000018376
propithecus_coquereli ENSPCOG00000016099
microcebus_murinus ENSMICG00000014272
otolemur_garnettii ENSOGAG00000014329
