pygocentrus_nattereri ENSPNAG00000008934
astyanax_mexicanus ENSAMXG00000038344
ictalurus_punctatus ENSIPUG00000000825
danio_rerio ENSDARG00000097920
monopterus_albus ENSMALG00000018121
mastacembelus_armatus ENSMAMG00000017264
anabas_testudineus ENSATEG00000007623
stegastes_partitus ENSSPAG00000001011
acanthochromis_polyacanthus ENSAPOG00000014462
kryptolebias_marmoratus ENSKMAG00000020590
astatotilapia_calliptera ENSACLG00000017245
maylandia_zebra ENSMZEG00005027465
pundamilia_nyererei ENSPNYG00000004102
haplochromis_burtoni ENSHBUG00000017186
neolamprologus_brichardi ENSNBRG00000016287
seriola_lalandi_dorsalis ENSSLDG00000016864
seriola_dumerili ENSSDUG00000016010
scleropages_formosus ENSSFOG00015010088
paramormyrops_kingsleyae ENSPKIG00000001448
