poecilia_mexicana ENSPMEG00000015896
poecilia_latipinna ENSPLAG00000010404
poecilia_reticulata ENSPREG00000015909
gambusia_affinis ENSGAFG00000015499
xiphophorus_maculatus ENSXMAG00000025842
kryptolebias_marmoratus ENSKMAG00000005275
oryzias_latipes_asm223467v1 ENSORLG00000029484
oryzias_latipes_asm223469v1 ENSORLG00015009053
oryzias_latipes_asm223471v1 ENSORLG00020009603
oryzias_melastigma ENSOMEG00000015646
haplochromis_burtoni ENSHBUG00000006897
pundamilia_nyererei ENSPNYG00000011355
maylandia_zebra ENSMZEG00005010544
astatotilapia_calliptera ENSACLG00000017962
neolamprologus_brichardi ENSNBRG00000002114
oreochromis_niloticus ENSONIG00000019081
gasterosteus_aculeatus ENSGACG00000010113
monopterus_albus ENSMALG00000013298
drosophila_melanogaster FBgn0031444
drosophila_melanogaster FBgn0003687
caenorhabditis_elegans_strain_n2 WBGene00006542
ciona_intestinalis ENSCING00000002679
