salvator_merianae ENSSMRG00000006965
pogona_vitticeps ENSPVIG00000014085
crocodylus_porosus ENSCPRG00005015632
gopherus_agassizii ENSGAGG00000025636
chelonoidis_abingdonii ENSCABG00000004047
chrysemys_picta_bellii ENSCPBG00000012364
sphenodon_punctatus ENSSPUG00000006936
anolis_carolinensis ENSACAG00000008622
notechis_scutatus ENSNSUG00000009096
anser_brachyrhynchus ENSABRG00000004095
anas_platyrhynchos_platyrhynchos ENSAPLG00000016727
calidris_pygmaea ENSCPGG00000017175
melopsittacus_undulatus ENSMUNG00000004019
lonchura_striata_domestica ENSLSDG00000001501
parus_major ENSPMJG00000011701
junco_hyemalis ENSJHYG00000001874
ficedula_albicollis ENSFALG00000014679
lepidothrix_coronata ENSLCOG00000013382
gallus_gallus ENSGALG00000026955
coturnix_japonica ENSCJPG00005010921
meleagris_gallopavo ENSMGAG00000016227
apteryx_owenii ENSAOWG00000014124
nothoprocta_perdicaria ENSNPEG00000012620
procavia_capensis ENSPCAG00000008914
loxodonta_africana ENSLAFG00000016665
echinops_telfairi ENSETEG00000008801
propithecus_coquereli ENSPCOG00000001011
prolemur_simus ENSPSMG00000009057
microcebus_murinus ENSMICG00000013418
otolemur_garnettii ENSOGAG00000000372
homo_sapiens ENSG00000176490
gorilla_gorilla ENSGGOG00000004553
pan_troglodytes ENSPTRG00000029182
pan_paniscus ENSPPAG00000003386
pongo_abelii ENSPPYG00000010579
nomascus_leucogenys ENSNLEG00000019022
rhinopithecus_bieti ENSRBIG00000011216
rhinopithecus_roxellana ENSRROG00000028156
colobus_angolensis_palliatus ENSCANG00000003436
piliocolobus_tephrosceles ENSPTEG00000010351
theropithecus_gelada ENSTGEG00000010722
theropithecus_gelada ENSTGEG00000009394
papio_anubis ENSPANG00000019430
mandrillus_leucophaeus ENSMLEG00000027735
cercocebus_atys ENSCATG00000018575
macaca_mulatta ENSMMUG00000040263
macaca_fascicularis ENSMFAG00000014700
macaca_nemestrina ENSMNEG00000016474
chlorocebus_sabaeus ENSCSAG00000018460
callithrix_jacchus ENSCJAG00000023307
saimiri_boliviensis_boliviensis ENSSBOG00000032130
cebus_capucinus_imitator ENSCCAG00000015194
aotus_nancymaae ENSANAG00000010669
castor_canadensis ENSCCNG00000008782
dipodomys_ordii ENSDORG00000006599
spermophilus_dauricus ENSSDAG00000007606
