monopterus_albus ENSMALG00000004062
mastacembelus_armatus ENSMAMG00000019656
anabas_testudineus ENSATEG00000000316
cynoglossus_semilaevis ENSCSEG00000005795
oryzias_melastigma ENSOMEG00000023036
gadus_morhua ENSGMOG00000004244
esox_lucius ENSELUG00000023596
pygocentrus_nattereri ENSPNAG00000027663
ictalurus_punctatus ENSIPUG00000001816
danio_rerio ENSDARG00000041944
lepisosteus_oculatus ENSLOCG00000000706
ovis_aries ENSOARG00000001536
capra_hircus ENSCHIG00000006501
bos_taurus ENSBTAG00000026519
bos_mutus ENSBMUG00000007661
bison_bison_bison ENSBBBG00000022117
tursiops_truncatus ENSTTRG00000002626
sus_scrofa ENSSSCG00000039598
vicugna_pacos ENSVPAG00000003813
pteropus_vampyrus ENSPVAG00000003064
myotis_lucifugus ENSMLUG00000015914
ailuropoda_melanoleuca ENSAMEG00000011625
ursus_americanus ENSUAMG00000008734
mustela_putorius_furo ENSMPUG00000018044
neovison_vison ENSNVIG00000021231
canis_lupus_familiaris ENSCAFG00000000305
canis_lupus_dingo ENSCAFG00020000125
vulpes_vulpes ENSVVUG00000004629
panthera_pardus ENSPPRG00000014038
panthera_tigris_altaica ENSPTIG00000016135
felis_catus ENSFCAG00000023296
saimiri_boliviensis_boliviensis ENSSBOG00000036007
cebus_capucinus_imitator ENSCCAG00000027091
callithrix_jacchus ENSCJAG00000019222
aotus_nancymaae ENSANAG00000026445
gorilla_gorilla ENSGGOG00000016178
homo_sapiens ENSG00000189007
pan_paniscus ENSPPAG00000033931
pan_troglodytes ENSPTRG00000018669
pongo_abelii ENSPPYG00000017059
nomascus_leucogenys ENSNLEG00000015075
macaca_mulatta ENSMMUG00000005362
macaca_fascicularis ENSMFAG00000003480
macaca_nemestrina ENSMNEG00000008575
cercocebus_atys ENSCATG00000035340
papio_anubis ENSPANG00000023970
theropithecus_gelada ENSTGEG00000018206
mandrillus_leucophaeus ENSMLEG00000022609
chlorocebus_sabaeus ENSCSAG00000017080
piliocolobus_tephrosceles ENSPTEG00000027305
colobus_angolensis_palliatus ENSCANG00000028199
rhinopithecus_roxellana ENSRROG00000039586
rhinopithecus_bieti ENSRBIG00000030894
carlito_syrichta ENSTSYG00000000276
prolemur_simus ENSPSMG00000004503
microcebus_murinus ENSMICG00000045010
propithecus_coquereli ENSPCOG00000006342
otolemur_garnettii ENSOGAG00000014712
castor_canadensis ENSCCNG00000028251
dipodomys_ordii ENSDORG00000016095
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017251
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010645
fukomys_damarensis ENSFDAG00000004490
chinchilla_lanigera ENSCLAG00000011999
octodon_degus ENSODEG00000007991
cavia_porcellus ENSCPOG00000005369
cavia_aperea ENSCAPG00000006285
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009919
cricetulus_griseus_crigri_1.0 ENSCGRG00000004214
cricetulus_griseus_crigri-picr ENSCGRG00015021773
mesocricetus_auratus ENSMAUG00000013019
peromyscus_maniculatus_bairdii ENSPEMG00000007937
microtus_ochrogaster ENSMOCG00000011508
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019808
mus_spicilegus ENSMSIG00000016007
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015935
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015127
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023746
rattus_norvegicus ENSRNOG00000046983
meriones_unguiculatus ENSMUGG00000013235
nannospalax_galili ENSNGAG00000022136
ictidomys_tridecemlineatus ENSSTOG00000021210
spermophilus_dauricus ENSSDAG00000020224
urocitellus_parryii ENSUPAG00010019622
marmota_marmota_marmota ENSMMMG00000000966
jaculus_jaculus ENSJJAG00000024065
sorex_araneus ENSSARG00000007029
ursus_maritimus ENSUMAG00000005488
oryctolagus_cuniculus ENSOCUG00000008925
ochotona_princeps ENSOPRG00000000144
equus_asinus_asinus ENSEASG00005009530
equus_caballus ENSECAG00000008321
loxodonta_africana ENSLAFG00000012597
procavia_capensis ENSPCAG00000012304
phascolarctos_cinereus ENSPCIG00000011302
notamacropus_eugenii ENSMEUG00000003979
sarcophilus_harrisii ENSSHAG00000013275
monodelphis_domestica ENSMODG00000017263
pogona_vitticeps ENSPVIG00000012891
notechis_scutatus ENSNSUG00000010384
salvator_merianae ENSSMRG00000000225
sphenodon_punctatus ENSSPUG00000005010
chrysemys_picta_bellii ENSCPBG00000017163
gopherus_agassizii ENSGAGG00000016341
chelonoidis_abingdonii ENSCABG00000020083
pelodiscus_sinensis ENSPSIG00000008814
crocodylus_porosus ENSCPRG00005001003
latimeria_chalumnae ENSLACG00000002834
