petromyzon_marinus ENSPMAG00000002744
eptatretus_burgeri ENSEBUG00000015047
parus_major ENSPMJG00000004349
cyanistes_caeruleus ENSCCEG00000022107
lonchura_striata_domestica ENSLSDG00000014347
ficedula_albicollis ENSFALG00000012010
junco_hyemalis ENSJHYG00000014711
serinus_canaria ENSSCAG00000000256
zonotrichia_albicollis ENSZALG00000000041
lepidothrix_coronata ENSLCOG00000006942
gallus_gallus ENSGALG00000021692
coturnix_japonica ENSCJPG00005006111
numida_meleagris ENSNMEG00000007743
calidris_pugnax ENSCPUG00000013006
calidris_pygmaea ENSCPGG00000018488
anas_platyrhynchos_platyrhynchos ENSAPLG00000010040
anser_brachyrhynchus ENSABRG00000005934
dromaius_novaehollandiae ENSDNVG00000004995
nothoprocta_perdicaria ENSNPEG00000010941
apteryx_haastii ENSAHAG00000010663
apteryx_owenii ENSAOWG00000003581
apteryx_rowi ENSARWG00000015820
crocodylus_porosus ENSCPRG00005013226
chelonoidis_abingdonii ENSCABG00000010773
gopherus_agassizii ENSGAGG00000023543
chrysemys_picta_bellii ENSCPBG00000004004
pelodiscus_sinensis ENSPSIG00000002130
sphenodon_punctatus ENSSPUG00000012065
notechis_scutatus ENSNSUG00000016829
salvator_merianae ENSSMRG00000005577
phascolarctos_cinereus ENSPCIG00000031677
phascolarctos_cinereus ENSPCIG00000026577
notamacropus_eugenii ENSMEUG00000001976
monodelphis_domestica ENSMODG00000001343
sarcophilus_harrisii ENSSHAG00000003201
macaca_mulatta ENSMMUG00000016665
macaca_fascicularis ENSMFAG00000003802
papio_anubis ENSPANG00000003098
theropithecus_gelada ENSTGEG00000018836
chlorocebus_sabaeus ENSCSAG00000009802
macaca_fascicularis ENSMFAG00000017334
macaca_mulatta ENSMMUG00000039668
papio_anubis ENSPANG00000029917
cercocebus_atys ENSCATG00000032168
rhinopithecus_bieti ENSRBIG00000038563
piliocolobus_tephrosceles ENSPTEG00000002149
pan_troglodytes ENSPTRG00000029161
pan_paniscus ENSPPAG00000024786
homo_sapiens ENSG00000174886
nomascus_leucogenys ENSNLEG00000034850
gorilla_gorilla ENSGGOG00000006279
cercocebus_atys ENSCATG00000041060
macaca_nemestrina ENSMNEG00000004413
mandrillus_leucophaeus ENSMLEG00000028488
colobus_angolensis_palliatus ENSCANG00000030936
rhinopithecus_roxellana ENSRROG00000001285
homo_sapiens ENSG00000267740
pongo_abelii ENSPPYG00000009441
callithrix_jacchus ENSCJAG00000016923
saimiri_boliviensis_boliviensis ENSSBOG00000032051
aotus_nancymaae ENSANAG00000034722
carlito_syrichta ENSTSYG00000026552
castor_canadensis ENSCCNG00000025826
dipodomys_ordii ENSDORG00000003140
mus_spicilegus ENSMSIG00000013041
mus_spicilegus ENSMSIG00000010168
mus_spicilegus ENSMSIG00000022323
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022698
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000002379
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021787
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020776
rattus_norvegicus ENSRNOG00000048320
microtus_ochrogaster ENSMOCG00000006364
microtus_ochrogaster ENSMOCG00000001594
peromyscus_maniculatus_bairdii ENSPEMG00000020648
cricetulus_griseus_crigri-picr ENSCGRG00015002156
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023471
cricetulus_griseus_crigri_1.0 ENSCGRG00000017811
mesocricetus_auratus ENSMAUG00000021572
meriones_unguiculatus ENSMUGG00000006161
nannospalax_galili ENSNGAG00000017779
jaculus_jaculus ENSJJAG00000023264
chinchilla_lanigera ENSCLAG00000008043
octodon_degus ENSODEG00000015123
cavia_aperea ENSCAPG00000008360
cavia_porcellus ENSCPOG00000019390
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014115
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002462
fukomys_damarensis ENSFDAG00000018094
ictidomys_tridecemlineatus ENSSTOG00000028356
urocitellus_parryii ENSUPAG00010023643
marmota_marmota_marmota ENSMMMG00000019059
spermophilus_dauricus ENSSDAG00000009331
propithecus_coquereli ENSPCOG00000020260
prolemur_simus ENSPSMG00000001770
microcebus_murinus ENSMICG00000033137
otolemur_garnettii ENSOGAG00000028410
oryctolagus_cuniculus ENSOCUG00000023143
ochotona_princeps ENSOPRG00000018668
capra_hircus ENSCHIG00000021213
ovis_aries ENSOARG00000007018
bos_taurus ENSBTAG00000019025
bos_mutus ENSBMUG00000025985
bison_bison_bison ENSBBBG00000021309
tursiops_truncatus ENSTTRG00000007527
sus_scrofa ENSSSCG00000027307
equus_asinus_asinus ENSEASG00005023097
ursus_maritimus ENSUMAG00000010857
ursus_americanus ENSUAMG00000022714
ailuropoda_melanoleuca ENSAMEG00000007918
neovison_vison ENSNVIG00000014768
mustela_putorius_furo ENSMPUG00000006200
canis_lupus_familiaris ENSCAFG00000018753
canis_lupus_dingo ENSCAFG00020019004
vulpes_vulpes ENSVVUG00000026918
panthera_pardus ENSPPRG00000001722
felis_catus ENSFCAG00000016347
pteropus_vampyrus ENSPVAG00000002843
myotis_lucifugus ENSMLUG00000027443
loxodonta_africana ENSLAFG00000028920
dasypus_novemcinctus ENSDNOG00000035011
ornithorhynchus_anatinus ENSOANG00000004952
xenopus_tropicalis ENSXETG00000021885
latimeria_chalumnae ENSLACG00000013860
tetraodon_nigroviridis ENSTNIG00000007145
takifugu_rubripes ENSTRUG00000025577
gasterosteus_aculeatus ENSGACG00000002132
hippocampus_comes ENSHCOG00000003540
cynoglossus_semilaevis ENSCSEG00000019529
oryzias_melastigma ENSOMEG00000007925
oryzias_latipes_asm223469v1 ENSORLG00015003003
xiphophorus_maculatus ENSXMAG00000007938
xiphophorus_couchianus ENSXCOG00000005888
poecilia_formosa ENSPFOG00000012717
poecilia_mexicana ENSPMEG00000009943
poecilia_latipinna ENSPLAG00000021474
poecilia_reticulata ENSPREG00000020330
gambusia_affinis ENSGAFG00000004825
cyprinodon_variegatus ENSCVAG00000012855
fundulus_heteroclitus ENSFHEG00000014894
acanthochromis_polyacanthus ENSAPOG00000002891
amphiprion_ocellaris ENSAOCG00000016147
stegastes_partitus ENSSPAG00000011610
amphiprion_percula ENSAPEG00000022333
kryptolebias_marmoratus ENSKMAG00000007099
astatotilapia_calliptera ENSACLG00000005154
maylandia_zebra ENSMZEG00005015592
pundamilia_nyererei ENSPNYG00000002828
neolamprologus_brichardi ENSNBRG00000019451
amphilophus_citrinellus ENSACIG00000001657
mastacembelus_armatus ENSMAMG00000018652
monopterus_albus ENSMALG00000019816
seriola_lalandi_dorsalis ENSSLDG00000019590
seriola_dumerili ENSSDUG00000022559
scophthalmus_maximus ENSSMAG00000005424
labrus_bergylta ENSLBEG00000010937
labrus_bergylta ENSLBEG00000016131
mola_mola ENSMMOG00000008746
anabas_testudineus ENSATEG00000005595
periophthalmus_magnuspinnatus ENSPMGG00000012599
gadus_morhua ENSGMOG00000008600
esox_lucius ENSELUG00000021697
pygocentrus_nattereri ENSPNAG00000023836
astyanax_mexicanus ENSAMXG00000018962
ictalurus_punctatus ENSIPUG00000007580
danio_rerio ENSDARG00000042777
paramormyrops_kingsleyae ENSPKIG00000025615
scleropages_formosus ENSSFOG00015007616
lepisosteus_oculatus ENSLOCG00000003164
drosophila_melanogaster FBgn0034576
