paramormyrops_kingsleyae ENSPKIG00000021540
scleropages_formosus ENSSFOG00015006817
pygocentrus_nattereri ENSPNAG00000000381
danio_rerio ENSDARG00000103350
oryzias_melastigma ENSOMEG00000014766
periophthalmus_magnuspinnatus ENSPMGG00000010763
lepisosteus_oculatus ENSLOCG00000017014
esox_lucius ENSELUG00000007806
notamacropus_eugenii ENSMEUG00000010217
phascolarctos_cinereus ENSPCIG00000021685
sarcophilus_harrisii ENSSHAG00000005348
monodelphis_domestica ENSMODG00000013826
dipodomys_ordii ENSDORG00000004610
castor_canadensis ENSCCNG00000012877
urocitellus_parryii ENSUPAG00010018604
spermophilus_dauricus ENSSDAG00000024661
ictidomys_tridecemlineatus ENSSTOG00000002959
marmota_marmota_marmota ENSMMMG00000012054
mus_spicilegus ENSMSIG00000029525
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029226
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029833
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028227
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021984
meriones_unguiculatus ENSMUGG00000024449
meriones_unguiculatus ENSMUGG00000024455
meriones_unguiculatus ENSMUGG00000021083
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017478
cricetulus_griseus_crigri_1.0 ENSCGRG00000012245
cricetulus_griseus_crigri-picr ENSCGRG00015027620
mesocricetus_auratus ENSMAUG00000020445
peromyscus_maniculatus_bairdii ENSPEMG00000004439
microtus_ochrogaster ENSMOCG00000012948
nannospalax_galili ENSNGAG00000013084
chinchilla_lanigera ENSCLAG00000001483
octodon_degus ENSODEG00000014486
cavia_porcellus ENSCPOG00000011312
cavia_aperea ENSCAPG00000014293
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010876
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005195
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005637
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009501
fukomys_damarensis ENSFDAG00000012549
oryctolagus_cuniculus ENSOCUG00000007274
ochotona_princeps ENSOPRG00000005108
pan_paniscus ENSPPAG00000017949
pan_troglodytes ENSPTRG00000019742
homo_sapiens ENSG00000122779
gorilla_gorilla ENSGGOG00000013456
pongo_abelii ENSPPYG00000018038
nomascus_leucogenys ENSNLEG00000013750
pan_troglodytes ENSPTRG00000046244
macaca_mulatta ENSMMUG00000002995
macaca_fascicularis ENSMFAG00000045630
macaca_nemestrina ENSMNEG00000039890
chlorocebus_sabaeus ENSCSAG00000008732
cercocebus_atys ENSCATG00000030841
mandrillus_leucophaeus ENSMLEG00000039841
theropithecus_gelada ENSTGEG00000025938
papio_anubis ENSPANG00000007105
colobus_angolensis_palliatus ENSCANG00000040094
piliocolobus_tephrosceles ENSPTEG00000037170
rhinopithecus_bieti ENSRBIG00000035238
rhinopithecus_roxellana ENSRROG00000036705
cebus_capucinus_imitator ENSCCAG00000006886
saimiri_boliviensis_boliviensis ENSSBOG00000028491
callithrix_jacchus ENSCJAG00000012885
aotus_nancymaae ENSANAG00000021814
carlito_syrichta ENSTSYG00000002296
propithecus_coquereli ENSPCOG00000019204
microcebus_murinus ENSMICG00000001814
prolemur_simus ENSPSMG00000019960
otolemur_garnettii ENSOGAG00000017126
pteropus_vampyrus ENSPVAG00000011741
myotis_lucifugus ENSMLUG00000011064
capra_hircus ENSCHIG00000008442
ovis_aries ENSOARG00000010179
bos_mutus ENSBMUG00000025112
bos_taurus ENSBTAG00000002431
bison_bison_bison ENSBBBG00000016777
tursiops_truncatus ENSTTRG00000012351
sus_scrofa ENSSSCG00000016518
vicugna_pacos ENSVPAG00000008062
erinaceus_europaeus ENSEEUG00000011813
sorex_araneus ENSSARG00000012845
ursus_americanus ENSUAMG00000015451
ursus_maritimus ENSUMAG00000015631
ailuropoda_melanoleuca ENSAMEG00000018000
neovison_vison ENSNVIG00000022196
mustela_putorius_furo ENSMPUG00000003933
canis_lupus_familiaris ENSCAFG00000024739
canis_lupus_familiaris ENSCAFG00000004336
canis_lupus_dingo ENSCAFG00020022391
vulpes_vulpes ENSVVUG00000002791
panthera_pardus ENSPPRG00000024437
panthera_tigris_altaica ENSPTIG00000019077
felis_catus ENSFCAG00000004091
equus_asinus_asinus ENSEASG00005011500
equus_caballus ENSECAG00000021957
dasypus_novemcinctus ENSDNOG00000006533
dasypus_novemcinctus ENSDNOG00000011371
loxodonta_africana ENSLAFG00000010375
procavia_capensis ENSPCAG00000009082
echinops_telfairi ENSETEG00000018236
tupaia_belangeri ENSTBEG00000005885
choloepus_hoffmanni ENSCHOG00000007539
ornithorhynchus_anatinus ENSOANG00000003791
calidris_pygmaea ENSCPGG00000004427
calidris_pugnax ENSCPUG00000000803
melopsittacus_undulatus ENSMUNG00000012088
lepidothrix_coronata ENSLCOG00000009821
manacus_vitellinus ENSMVIG00005017120
serinus_canaria ENSSCAG00000009594
ficedula_albicollis ENSFALG00000003668
junco_hyemalis ENSJHYG00000000226
zonotrichia_albicollis ENSZALG00000000253
parus_major ENSPMJG00000009335
cyanistes_caeruleus ENSCCEG00000016147
lonchura_striata_domestica ENSLSDG00000014639
taeniopygia_guttata ENSTGUG00000012279
gallus_gallus ENSGALG00000012823
coturnix_japonica ENSCJPG00005020292
meleagris_gallopavo ENSMGAG00000013151
numida_meleagris ENSNMEG00000013366
anser_brachyrhynchus ENSABRG00000005474
anas_platyrhynchos_platyrhynchos ENSAPLG00000003731
apteryx_owenii ENSAOWG00000016293
apteryx_haastii ENSAHAG00000000978
apteryx_rowi ENSARWG00000005850
dromaius_novaehollandiae ENSDNVG00000009902
nothoprocta_perdicaria ENSNPEG00000001131
crocodylus_porosus ENSCPRG00005018061
gopherus_agassizii ENSGAGG00000008266
chelonoidis_abingdonii ENSCABG00000020171
chrysemys_picta_bellii ENSCPBG00000012090
pelodiscus_sinensis ENSPSIG00000015663
anolis_carolinensis ENSACAG00000013480
