monopterus_albus ENSMALG00000006446
seriola_dumerili ENSSDUG00000001092
amphiprion_percula ENSAPEG00000007028
gambusia_affinis ENSGAFG00000017996
poecilia_reticulata ENSPREG00000009029
oryzias_latipes_asm223467v1 ENSORLG00000029422
oryzias_latipes_asm223471v1 ENSORLG00020002327
amphiprion_ocellaris ENSAOCG00000002124
stegastes_partitus ENSSPAG00000018373
scophthalmus_maximus ENSSMAG00000009502
pundamilia_nyererei ENSPNYG00000010597
neolamprologus_brichardi ENSNBRG00000004259
oryzias_latipes_asm223471v1 ENSORLG00020002271
astyanax_mexicanus ENSAMXG00000030216
