ursus_americanus ENSUAMG00000021642
ursus_maritimus ENSUMAG00000025121
ailuropoda_melanoleuca ENSAMEG00000000148
mustela_putorius_furo ENSMPUG00000017600
neovison_vison ENSNVIG00000009502
canis_lupus_familiaris ENSCAFG00000010392
canis_lupus_dingo ENSCAFG00020015110
vulpes_vulpes ENSVVUG00000016509
canis_lupus_familiaris ENSCAFG00000030785
sus_scrofa ENSSSCG00000007443
microcebus_murinus ENSMICG00000027628
prolemur_simus ENSPSMG00000008399
aotus_nancymaae ENSANAG00000036203
saimiri_boliviensis_boliviensis ENSSBOG00000031497
chinchilla_lanigera ENSCLAG00000008145
octodon_degus ENSODEG00000009097
cavia_porcellus ENSCPOG00000030815
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006815
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002601
fukomys_damarensis ENSFDAG00000008468
mus_spicilegus ENSMSIG00000023150
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000056824
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025605
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024685
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026127
rattus_norvegicus ENSRNOG00000031478
meriones_unguiculatus ENSMUGG00000006289
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011556
cricetulus_griseus_crigri-picr ENSCGRG00015020483
cricetulus_griseus_crigri_1.0 ENSCGRG00000017695
mesocricetus_auratus ENSMAUG00000016613
peromyscus_maniculatus_bairdii ENSPEMG00000014026
microtus_ochrogaster ENSMOCG00000013692
nannospalax_galili ENSNGAG00000001864
urocitellus_parryii ENSUPAG00010021541
ictidomys_tridecemlineatus ENSSTOG00000033819
spermophilus_dauricus ENSSDAG00000005941
marmota_marmota_marmota ENSMMMG00000006200
